# , z, z_percent, D, D_percent, t_below, t_below_percent, t_above, t_above_percent, W_below, W_below_percent, W_above, W_above_percent, Maximum misalignment, Maximum misalignment_percent, DEL_My , DEL_My_percent, ecc_thickness, ecc_thickness_percent, misalign_SN_inner, misalign_SN_inner_percent, misalign_SN_outer, misalign_SN_outer_percent, SCF_butt_weld_outer, SCF_butt_weld_outer_percent, SCF_butt_weld_inner, SCF_butt_weld_inner_percent, SCF_cone_outer, SCF_cone_outer_percent, SCF_cone_inner, SCF_cone_inner_percent, total_SCF, total_SCF_percent, DES, DES_percent, thickness_factor, thickness_factor_percent, sigma_ref_EN_weld_factored, sigma_ref_EN_weld_factored_percent, N_allow_weld, N_allow_weld_percent, damage_weld, damage_weld_percent, DEL_margin_fatigue_weld, DEL_margin_fatigue_weld_percent, N_allow_brackets, N_allow_brackets_percent, damage_brackets, damage_brackets_percent, DEL_margin_fatigue_brackets, DEL_margin_fatigue_brackets_percent
1.00E+00,5.55E-17,5.55E-17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E-11,3.89E-11,3.89E-11,3.89E-11,0.00E+00,0.00E+00,2.86E-06,2.86E-06,0.00E+00,0.00E+00,8.67E-19,8.67E-19,8.67E-19,8.67E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E-09,4.06E-09,-2.96E-12,-2.96E-12,1.89E-07,1.89E-07,4.14E-01,4.14E-01,-3.31E-09,-3.31E-09,4.01E-07,4.01E-07,-4.18E-01,-4.18E-01,2.79E-09,2.79E-09,-3.80E-07,-3.80E-07
2.00E+00,4.44E-16,4.44E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E-11,3.89E-11,3.89E-11,3.89E-11,0.00E+00,0.00E+00,1.91E-06,1.91E-06,0.00E+00,0.00E+00,8.67E-19,8.67E-19,8.67E-19,8.67E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.76E-09,2.76E-09,-2.96E-12,-2.96E-12,1.89E-07,1.89E-07,4.76E-01,4.76E-01,-2.98E-09,-2.98E-09,4.19E-07,4.19E-07,-4.67E-01,-4.67E-01,2.40E-09,2.40E-09,-3.86E-07,-3.86E-07
3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,3.89E-11,3.89E-11,9.79E-12,9.79E-12,0.00E+00,0.00E+00,-3.89E-06,-3.89E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-11,1.83E-11,1.83E-11,1.83E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.07E-09,-8.07E-09,-2.96E-12,-2.96E-12,1.89E-07,1.89E-07,1.29E-01,1.29E-01,-1.31E-08,-1.31E-08,3.25E-07,3.25E-07,-1.03E-01,-1.03E-01,8.84E-09,8.84E-09,-2.43E-07,-2.43E-07
4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,9.79E-12,9.79E-12,-1.03E-11,-1.03E-11,0.00E+00,0.00E+00,1.63E-06,1.63E-06,0.00E+00,0.00E+00,-4.34E-19,-4.34E-19,-4.34E-19,-4.34E-19,3.42E-12,3.42E-12,3.42E-12,3.42E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.55E-09,3.55E-09,-1.71E-11,-1.71E-11,2.04E-07,2.04E-07,1.51E-01,1.51E-01,-9.40E-09,-9.40E-09,3.15E-07,3.15E-07,-1.08E-01,-1.08E-01,1.06E-08,1.06E-08,-2.67E-07,-2.67E-07
5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,-1.03E-11,-1.03E-11,3.41E-11,3.41E-11,0.00E+00,0.00E+00,-4.65E-06,-4.65E-06,0.00E+00,0.00E+00,-4.34E-19,-4.34E-19,-4.34E-19,-4.34E-19,3.89E-11,3.89E-11,3.89E-11,3.89E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.03E-08,-1.03E-08,-2.54E-11,-2.54E-11,2.06E-07,2.06E-07,1.74E-01,1.74E-01,-1.00E-08,-1.00E-08,3.54E-07,3.54E-07,-9.59E-02,-9.59E-02,9.09E-09,9.09E-09,-2.35E-07,-2.35E-07
6.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,3.41E-11,3.41E-11,9.97E-13,9.97E-13,0.00E+00,0.00E+00,-2.82E-06,-2.82E-06,0.00E+00,0.00E+00,-4.34E-19,-4.34E-19,-4.34E-19,-4.34E-19,4.53E-12,4.53E-12,4.53E-12,4.53E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.44E-09,-6.44E-09,-3.85E-11,-3.85E-11,2.07E-07,2.07E-07,1.75E-01,1.75E-01,-9.45E-09,-9.45E-09,3.47E-07,3.47E-07,-1.00E-01,-1.00E-01,9.41E-09,9.41E-09,-2.45E-07,-2.45E-07
7.00E+00,1.78E-15,1.78E-15,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,-6.94E-18,-6.94E-18,9.97E-13,9.97E-13,3.99E-11,3.99E-11,0.00E+00,0.00E+00,5.13E-07,5.13E-07,0.00E+00,0.00E+00,-8.67E-19,-8.67E-19,-8.67E-19,-8.67E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E-09,1.22E-09,-9.81E-12,-9.81E-12,2.08E-07,2.08E-07,1.70E-01,1.70E-01,-8.63E-09,-8.63E-09,3.29E-07,3.29E-07,-1.08E-01,-1.08E-01,1.01E-08,1.01E-08,-2.63E-07,-2.63E-07
8.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.94E-18,-6.94E-18,-1.04E-17,-1.04E-17,3.99E-11,3.99E-11,-8.08E-12,-8.08E-12,0.00E+00,0.00E+00,3.85E-06,3.85E-06,0.00E+00,0.00E+00,-4.34E-19,-4.34E-19,-4.34E-19,-4.34E-19,-2.68E-11,-2.68E-11,-2.68E-11,-2.68E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-2.68E-11,-2.68E-11,9.40E-09,9.40E-09,3.66E-11,3.66E-11,2.08E-07,2.08E-07,1.57E-01,1.57E-01,-8.15E-09,-8.15E-09,3.07E-07,3.07E-07,-1.17E-01,-1.17E-01,1.08E-08,1.08E-08,-2.84E-07,-2.84E-07
9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.04E-17,-1.04E-17,0.00E+00,0.00E+00,-8.08E-12,-8.08E-12,-8.08E-12,-8.08E-12,0.00E+00,0.00E+00,3.35E-06,3.35E-06,0.00E+00,0.00E+00,-4.34E-19,-4.34E-19,-4.34E-19,-4.34E-19,-1.38E-11,-1.38E-11,-1.38E-11,-1.38E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.38E-11,-1.38E-11,8.19E-09,8.19E-09,1.84E-11,1.84E-11,2.09E-07,2.09E-07,1.87E-01,1.87E-01,-6.99E-09,-6.99E-09,3.23E-07,3.23E-07,-1.33E-01,-1.33E-01,9.30E-09,9.30E-09,-2.91E-07,-2.91E-07
1.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.08E-12,-8.08E-12,-1.07E-11,-1.07E-11,0.00E+00,0.00E+00,7.04E-07,7.04E-07,0.00E+00,0.00E+00,4.34E-19,4.34E-19,4.34E-19,4.34E-19,-3.42E-11,-3.42E-11,-3.42E-11,-3.42E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.42E-11,-3.42E-11,1.78E-09,1.78E-09,1.84E-11,1.84E-11,2.07E-07,2.07E-07,1.67E-01,1.67E-01,-8.68E-09,-8.68E-09,3.27E-07,3.27E-07,-1.11E-01,-1.11E-01,9.90E-09,9.90E-09,-2.66E-07,-2.66E-07
1.10E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.07E-11,-1.07E-11,-4.39E-11,-4.39E-11,0.00E+00,0.00E+00,4.91E-06,4.91E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-11,3.10E-11,3.10E-11,3.10E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-11,3.10E-11,1.29E-08,1.29E-08,2.60E-11,2.60E-11,2.06E-07,2.06E-07,1.49E-01,1.49E-01,-8.06E-09,-8.06E-09,2.96E-07,2.96E-07,-1.22E-01,-1.22E-01,1.09E-08,1.09E-08,-2.93E-07,-2.93E-07
